,times,vals,err
0,2452939.75662,-11.194,0.0008309999999999999
1,2453001.58907,-2.471,0.000973
2,2453035.57517,1.119,0.000962
3,2453046.5431,2.186,0.001044
4,2453049.52007,0.342,0.000911
5,2453052.5295,0.736,0.0009559999999999999
6,2453202.94287,12.157,0.001016
7,2453263.84795,17.134,0.000989
8,2453267.85552,15.651,0.0010249999999999999
9,2453270.88046,14.728,0.000958
10,2453310.75286,16.19,0.000937
11,2453344.71838,21.022,0.0009459999999999999
12,2453366.63543,23.055,0.0009310000000000001
13,2453372.621,25.05,0.000833
14,2454292.92599,2.59,0.000614
15,2454295.92827,4.792,0.0008259999999999999
16,2454299.94285,6.762,0.0009559999999999999
17,2454342.76875,9.351,0.000967
18,2454343.90718,12.827,0.000975
19,2454344.85395,10.135,0.000924
20,2454348.85986,11.436,0.00115
21,2454348.86206,10.758,0.001155
22,2454385.76333,14.12,0.0009180000000000001
23,2454387.73132,10.861,0.000994
24,2454390.74715,9.963,0.0008309999999999999
25,2454484.56493,17.58,0.00093
26,2454487.54484,17.33,0.000941
27,2454745.73555,-8.241,0.000861
28,2454774.64303,-4.795,0.00094
29,2454780.64049,-3.062,0.0009559999999999999
30,2454799.63212,-2.528,0.000937
31,2454804.63363,-2.458,0.000973
32,2455024.93342,14.425,0.000929
33,2455038.93869,13.11,0.0009270000000000001
34,2455040.92092,15.14,0.000933
35,2455065.89767,17.144,0.000991
36,2455070.88341,16.889,0.0009609999999999999
37,2455075.83773,13.512,0.000841
38,2455075.84326,15.022,0.0008449999999999999
39,2455095.84415,17.909,0.000796
40,2455101.83475,19.077,0.000841
41,2455110.74949,16.521,0.000955
42,2455136.78325,23.626,0.0012749999999999999
43,2455139.69982,23.594,0.000723
44,2455142.68823,21.374,0.001012
45,2455151.75514,19.844,0.0006919999999999999
46,2455157.62555,21.226,0.000967
47,2455228.54303,32.622,0.0009649999999999999
48,2455241.51015,24.798,0.000941
49,2455244.50556,-2.509,0.0009310000000000001
50,2455402.89914,-1.781,0.0011979999999999998
51,2455457.75834,2.8,0.000973
52,2455488.73956,5.709,0.000944
53,2455626.51653,13.587,0.000664
54,2455779.93662,24.723,0.000903
55,2455815.88802,30.223,0.000737
56,2455826.79502,33.86,0.000925
57,2455845.79308,-168.094,0.000898
58,2455870.69646,-34.018,0.0009649999999999999
59,2455897.61728,-21.262,0.000615
60,2455923.65202,-11.218,0.0007149999999999999
61,2456118.96317,5.878,0.001024
62,2456195.7782,10.187,0.0009809999999999999
63,2456229.7459,16.276,0.000575
64,2456252.62923,15.764,0.000995
65,2456284.67392,17.6,0.000955
66,2456323.60157,18.877,0.000973
67,2457035.61515,-0.701,0.000864
68,2457035.6519,-0.358,0.000851
69,2457039.5541,-178.264,0.000638
70,2457046.52331,-74.66,0.000733
71,2457050.52212,-60.585,0.0009459999999999999
